"playid"	"period"	"strength"	"time"	"event"	"description"	"player1visitor"	"player2visitor"	"player3visitor"	"player4visitor"	"player5visitor"	"player6visitor"	"player1posvisitor"	"player2posvisitor"	"player3posvisitor"	"player4posvisitor"	"player5posvisitor"	"player6posvisitor"	"player1home"	"player2home"	"player3home"	"player4home"	"player5home"	"player6home"	"player1poshome"	"player2poshome"	"player3poshome"	"player4poshome"	"player5poshome"	"player6poshome"
"40"	40	1	"EV"	"6:1213:48"	"GIVE"	"MTL GIVEAWAY - #74 EMELIN, Def. Zone"	"14"	"20"	"49"	"74"	"79"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"43"	"55"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"41"	41	1	"EV"	"6:1313:47"	"BLOCK"	"BOS #37 BERGERON BLOCKED BY  MTL #74 EMELIN, Wrist, Def. Zone"	"14"	"20"	"49"	"74"	"79"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"43"	"55"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"42"	42	1	"EV"	"6:1813:42"	"PENL"	"BOS #63 MARCHAND Interference on goalkeeper(2 min), Off. Zone Drawn By: MTL #31 PRICE"	"14"	"20"	"49"	"74"	"79"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"63"	"18"	"43"	"55"	"40"	"C"	"C"	"R"	"D"	"D"	"G"
"43"	43	1	" "	"6:1813:42"	"STOP"	"TV TIMEOUT"	"14"	"20"	"49"	"74"	"79"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"18"	"43"	"55"	"40"	NA	"C"	"R"	"D"	"D"	"G"	NA
"44"	44	1	"SH"	"6:1813:42"	"FAC"	"BOS won Def. Zone - MTL #51 DESHARNAIS vs BOS #37 BERGERON"	"51"	"20"	"67"	"76"	"79"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"21"	"33"	"55"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
"45"	45	1	"PP"	"6:3013:30"	"MISS"	"MTL #76 SUBBAN, Slap, Wide of Net, Off. Zone, 57 ft."	"51"	"20"	"67"	"76"	"79"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"21"	"33"	"55"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
"46"	46	1	"SH"	"6:4113:19"	"BLOCK"	"MTL #76 SUBBAN BLOCKED BY  BOS #37 BERGERON, Slap, Def. Zone"	"51"	"20"	"67"	"76"	"79"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"21"	"33"	"55"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
"47"	47	1	"SH"	"6:4813:12"	"SHOT"	"BOS ONGOAL - #55 BOYCHUK, Snap, Def. Zone, 132 ft."	"51"	"20"	"67"	"76"	"79"	"31"	"C"	"L"	"L"	"D"	"D"	"G"	"37"	"21"	"33"	"55"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
"48"	48	1	"SH"	"6:5613:04"	"HIT"	"BOS #86 MILLER HIT MTL #51 DESHARNAIS, Def. Zone"	"48"	"51"	"20"	"76"	"79"	"31"	"C"	"C"	"L"	"D"	"D"	"G"	"11"	"20"	"33"	"86"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
"49"	49	1	"SH"	"7:0013:00"	"GIVE"	"BOS GIVEAWAY - #33 CHARA, Def. Zone"	"48"	"51"	"20"	"76"	"79"	"31"	"C"	"C"	"L"	"D"	"D"	"G"	"11"	"20"	"33"	"86"	"40"	NA	"C"	"L"	"D"	"D"	"G"	NA
